# ours, veh=rec392, demand_model=open-loop
sim_seconds,lane,pos,speed,binder,jy_arm,next_mouth_gap
498.5,e_d_5_4_d_4_4_1,123.064,13.890,3,2,Infinity
499.0,e_d_5_4_d_4_4_1,130.009,13.890,3,2,Infinity
499.5,e_d_5_4_d_4_4_1,136.954,13.890,3,2,Infinity
500.0,e_d_5_4_d_4_4_1,143.899,13.890,3,2,Infinity
500.5,e_d_5_4_d_4_4_1,150.844,13.890,3,2,Infinity
501.0,e_d_5_4_d_4_4_1,157.789,13.890,3,2,Infinity
501.5,e_d_5_4_d_4_4_1,164.734,13.890,3,2,Infinity
502.0,e_d_5_4_d_4_4_1,171.679,13.890,3,2,Infinity
502.5,e_d_5_4_d_4_4_1,178.624,13.890,3,2,Infinity
503.0,e_d_5_4_d_4_4_1,185.569,13.890,3,2,Infinity
503.5,e_d_5_4_d_4_4_1,192.514,13.890,3,2,Infinity
504.0,e_d_5_4_d_4_4_1,198.522,12.017,1,2,Infinity
504.5,e_d_5_4_d_4_4_1,203.593,10.142,1,2,Infinity
505.0,e_d_5_4_d_4_4_1,207.764,8.342,1,2,Infinity
505.5,e_d_5_4_d_4_4_1,211.091,6.654,1,2,Infinity
506.0,e_d_5_4_d_4_4_1,213.587,4.991,1,2,Infinity
506.5,e_d_5_4_d_4_4_1,215.332,3.491,1,2,Infinity
507.0,e_d_5_4_d_4_4_1,216.496,2.327,1,2,Infinity
507.5,e_d_5_4_d_4_4_1,217.097,1.202,1,2,Infinity
508.0,e_d_5_4_d_4_4_1,217.397,0.601,1,2,Infinity
508.5,e_d_5_4_d_4_4_1,217.548,0.301,1,2,Infinity
509.0,e_d_5_4_d_4_4_1,217.623,0.150,1,2,Infinity
